Lon,Lat,ID,GroupID
129.1193,33.39801,1,1
129.8664,32.51304,2,1
129.8664,32.51304,2,1
130.0422,31.35696,3,1
130.0422,31.35696,3,1
130.3498,30.37623,4,1
130.3498,30.37623,4,1
129.0754,28.38516,5,1
129.0754,28.38516,5,1
127.6691,26.11948,6,1
127.6691,26.11948,6,1
130.7453,29.92023,7,1
130.7453,29.92023,7,1
130.9211,31.50695,8,1
130.9211,31.50695,8,1
132.0637,32.77207,9,1
132.0637,32.77207,9,1
133.5578,33.36131,10,1
133.5578,33.36131,10,1
134.1731,33.1776,11,1
134.1731,33.1776,11,2
134.9201,33.91013,12,2
134.9201,33.91013,12,2
135.6672,33.39801,13,2
135.6672,33.39801,13,2
136.9856,34.56406,14,2
136.9856,34.56406,14,2
138.8752,34.60024,15,2
138.8752,34.60024,15,2
139.842,34.94318,16,2
139.842,34.94318,16,2
140.4353,35.17699,17,2
140.4353,35.17699,17,2
140.9187,35.73184,18,2
140.9187,35.73184,18,2
140.611,36.22969,19,2
140.611,36.22969,19,2
141.1823,37.26841,20,2
141.1823,37.26841,20,2
140.9846,38.18945,21,2
140.9846,38.18945,21,3
141.5778,38.31023,22,3
141.5778,38.31023,22,3
141.6687,38.93272,23,3
141.6687,38.93272,23,3
142.0643,39.34174,24,3
142.0643,39.34174,24,3
141.9324,40.23657,25,3
141.9324,40.23657,25,3
141.3831,40.82109,26,3
141.3831,40.82109,26,3
141.493,41.36754,27,3
141.493,41.36754,27,3
141.1634,41.844,28,3
141.1634,41.844,28,3
141.0096,42.31693,29,3
141.0096,42.31693,29,3
141.6687,42.6572,30,3
141.6687,42.6572,30,3
143.2947,41.86036,31,3
143.2947,41.86036,31,4
143.6243,42.6572,32,4
143.6243,42.6572,32,4
144.3934,42.94738,33,4
144.3934,42.94738,33,4
145.2283,42.99562,34,4
145.2283,42.99562,34,4
146.9861,43.77804,35,4
146.9861,43.77804,35,4
149.0076,45.52849,36,4
149.0076,45.52849,36,4
147.909,45.42063,37,4
147.909,45.42063,37,4
145.3602,44.34645,38,4
145.3602,44.34645,38,4
144.701,43.98393,39,4
144.701,43.98393,39,4
143.3167,44.40927,40,4
143.3167,44.40927,40,4
141.9324,45.57465,41,4
141.9324,45.57465,41,5
141.427,45.34347,42,5
141.427,45.34347,42,5
141.6468,44.11028,43,5
141.6468,44.11028,43,5
141.1634,43.49179,44,5
141.1634,43.49179,44,5
140.2625,43.39608,45,5
140.2625,43.39608,45,5
139.4056,42.21937,46,5
139.4056,42.21937,46,5
140.0863,42.00599,47,5
140.0863,42.00599,47,5
139.9105,41.5965,48,5
139.9105,41.5965,48,5
139.8886,40.60306,49,5
139.8886,40.60306,49,5
139.6249,39.93244,50,5
139.6249,39.93244,50,5
140.0424,39.79751,51,5
140.0424,39.79751,51,6
139.6688,38.76003,52,6
139.6688,38.76003,52,6
138.5043,38.34764,53,6
138.5043,38.34764,53,6
138.1747,37.98486,54,6
138.1747,37.98486,54,6
138.5922,37.5332,55,6
138.5922,37.5332,55,6
137.6913,37.09632,56,6
137.6913,37.09632,56,6
137.2958,37.56804,57,6
137.2958,37.56804,57,6
136.7465,37.34129,58,6
136.7465,37.34129,58,6
136.7245,36.7802,59,6
136.7245,36.7802,59,6
136.0214,36.17951,60,6
136.0214,36.17951,60,6
135.9555,35.69919,61,6
135.9555,35.69919,61,7
135.3182,35.59205,62,7
135.3182,35.59205,62,7
135.1644,35.87743,63,7
135.1644,35.87743,63,7
134.0878,35.60992,64,7
134.0878,35.60992,64,7
132.9891,35.64564,65,7
132.9891,35.64564,65,7
131.6708,34.67563,66,7
131.6708,34.67563,66,7
130.9237,34.38601,67,7
130.9237,34.38601,67,7
130.8386,33.97591,68,7
130.8386,33.97591,68,7
130.2179,33.68387,69,7
130.2179,33.68387,69,7
129.6631,33.87564,70,7
129.6631,33.87564,70,7
129.1193,33.39801,71,7
